Title,URL,Address,Compensation,Employment Type,Description
◄◄  SKETCHUP PROFESSIONAL AVAILABLE FOR YOUR 3D PROJECT,https://newyork.craigslist.org/que/egr/d/astoria-sketchup-professional-available/7009338839.html,"Metro New York, Long Island",Per Project Quote,contract,"
        
    "
Painting/Tree Service Needed,https://newyork.craigslist.org/brk/egr/d/brooklyn-painting-tree-service-needed/7009661389.html,,Payment,contract,"
        
Urgently in need of a exterior and tree service, email me ASAP and let me know the service you rendering.    "
Landscape Design assistant project manager and admin.,https://newyork.craigslist.org/mnh/egr/d/new-york-landscape-design-assistant/7009704725.html,Chelsea,Base salary training $500/wk with increase with bonus system higher pay for experienced workers,full-time,"
        
Growing Landscape team and Garden Design company is seeking good people for full time and possible **flex time employment. 

Are you working on the labor crew but think you want to help organize and manage? 

A trainee landscape architect student or recent graduate or landscape designer graduate or with some training who can make sketches or layouts of gardens and learn to make inspirational and finished concepts or designs. 
  Will consider an experienced landscape architect and the future possibility of Jr. partnerships. 

Also hiring all around assistant with energy and experience in team and meeting support, customer relations, writing emails, invoicing, organizing clients and keeping payroll etc. 

Drivers license is a plus 

   TO APPLY: GO TO WEBSITE ""Contact Us"" page and leave:

Name 
Phone
email
General experience
when you can start
Drivers license
Reference 1 personal 1 business
common sense information and brief cover letter. 

Thanks!
    "
Project Architect,https://newyork.craigslist.org/mnh/egr/d/new-york-project-architect/7010090631.html,Midtown West,"Salary Commensurate with Experience, Health Benefits, 401K, Commuter Benefits",full-time,"
        
Max Gordon Architects, P.C. seeks a sharp, level-headed, and well-rounded Senior Project Architect with 7+ years of experience. 

Firm Profile
We are a close-knit studio of talented designers who thrive in a social and diverse working environment. Through open discussion and collaboration, we work to push through the boundaries of convention and create thoughtful, innovative design. As we seek to expand our opportunities, we are looking for individuals whose experience, perspective, and unique skill set broaden the collective knowledge of the studio. While we specialize in commercial, retail, and high-end residential projects, we take pride in our pursuit of more theoretical endeavors that allow us to explore new approaches to sustainability, social inequality, and innovative construction methods.

Key Responsibilities:
•	Point of contact for project teams
•	Possess a comprehensive understanding of client program goals, standards and processes
•	Maintain and update program standards and templates; disseminate new information to project teams
•	Manage design team to maintain quality and achieve deadlines
•	Coordination with project consultants including MEP, civil and structural engineers and other project consultants
•	Responsible for project delivery; coordinate and work closely with clients, designers, and project management teams carrying out the requirements for the project
•	Ensure that projects meet all codes, specifications, quality control
•	Document coordination for filing construction documents
•	Review shop drawings for accuracy, attend construction field meetings with contractors, address issues arising from construction 
•	Prepare surveys, reports, meeting minutes, define/clarify scopes of work and punch lists items
•	Communicate with vendors and contractors to verify field conditions.
•	Maintain relationships with clients, consultants, vendors and contractors

Qualifications:
•	Minimum 7 years of experience in the Architecture (Licensed Architect preferred)
•	Professional Degree in Architecture (B.Arch or M. Arch) 
•	Advanced knowledge of architectural detailing, fabrication, and multi-trade collaboration
•	Advanced knowledge of construction methods and materials
•	Advanced knowledge of 2010 ADAAG, 2015 IBC, and NYC Building Codes 
•	Strong proficiency in AutoCAD and Adobe Creative Suite (Photoshop, Illustrator, InDesign) required (Proficiency in Revit, SketchUp, Rhino, or 3D Studio Max a plus)
•	Experience with commercial, retail, or high-end residential required (sustainable design and multi-family housing a plus)
•	Strong organization, communication, and interpersonal skills
•	Must be fluent in English and be eligible to work in the US.
•	LEED Accreditation a plus

Max Gordon Architects P.C. is an equal opportunity employer.
Candidate must be authorized to work in the United States and live within the NYC five-boroughs.

Compensation: Bi-weekly
Please include your cover letter, resume, and portfolio.

    "
Drafting/Estimating Internship,https://newyork.craigslist.org/que/egr/d/long-island-city-drafting-estimating/7010119520.html,Long Island City,Unpaid Internship,part-time,"
        
Our company is offering an internship for recent graduates/college students with Architectural, Construction Management or Engineering background and interested in real world experience in the Manufacturing Industry.

We are a top fabricator in the Northeast for custom metal facade and roofing components. Our Design & Estimating Department are looking for an individual who is interested in the business, design and developmental aspects of architecture. 

The internship program provides a unique opportunity to gain experience in:
-	Cost Estimation
-	Specs & CD
-	Marketing Strategy and PR
-	Fabrication
-	Installation and Field Relationship

We are looking for interns who are:
-	Self-motivated and able to receive/ use constructive criticism
-	Communicative; willing to ask questions, share their ideas 
-	Team Players willing to work with others
-	Punctual, reliable and responsible
-	Interested in architectural methods/materials in Roofing/Facade


Candidates must have knowledge of Microsoft Office, AutoCad, experience in Rhino is a plus! 
Interns must be present 20 hrs/week for 3 Months. Full time positions are available for best candidates.

This is not a paid internship however; a lunch and 75% travel stipend will be provided.

Please send a resume and work samples to Craigslist email listed.    "
Junior Designer at Creative Studio,https://newyork.craigslist.org/mnh/egr/d/new-york-junior-designer-at-creative/7010110510.html,Manhattan,On Project Basis,part-time,"
        
Seeking Junior Designer at Creative Studio in Manhattan.
Exposure to Environmental Branding, Exhibits, Product,
Graphic and Brand Identity.  2D & 3D toolkit
Adobe Suite, 3D render
Clean, contemporary, minimal design aesthetic.
Can-do attitude, willing to learn

Work remotely with ability to meet in person.
Part-time, on a project basis
Send resume and 3 examples of work – as PDF only
    "
Facade / Building Envelope Structural Engineer,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-structural/6997653729.html,TriBeCa,Commensurate with experience,full-time,"
        
 
 , New York City's leading professional firm dedicated to the preservation of buildings and infrastructure, is seeking a resourceful, skilled structural engineer with 5 to 6 years of building envelope restoration experience if licensed, and 7 to 10 years' experience if not licensed, to join us in executing a growing slate of challenging projects. 

We work on an array of building types, including courthouses, schools, universities, churches, and hospitals, and many of New York's most storied landmarks, from Trinity Church to Grand Central Terminal. Our work embraces all components of the building envelope and underlying structure—facades, roofs, windows, and plazas—and the full complement of materials, from historic terra-cotta to high-performance curtain walls. We’re proud to be an industry leader in crucial practice areas like Local Law 11 inspections and repairs. We've won numerous awards, as well as the loyalty of many of the premier public, corporate, and residential clients in the region. 

You’ll work as part of a small team assigned to projects based on synergies between project requirements and the capabilities of each team member. This arrangement offers employees the dual advantages of a small office experience coupled with access to the centralized resources of a larger firm. You'll be supported by some of the most sophisticated technology in the profession, including proprietary computer systems and applications, advanced photography and image processing, and state-of-the-art, non-destructive diagnostic equipment and techniques. 

Typically, you’ll participate in all phases of a project from inception through completion: proposal, investigation, construction documents, bid negotiation, and construction administration. You'll have the opportunity to see your designs executed in the field and you'll take on greater responsibility and client management as soon as you are ready. 

We offer an array of benefits and growth opportunities: :


Our light-filled Tribeca office is in a landmarked building with 16' high ceilings, 8' tall windows, and stunning views of Manhattan in three directions—not a bad place to spend the work day. We’re easily accessible via public transportation: the A, C, and E Canal Street station connects directly to our building’s lobby. The N, R, 1, and 6 lines are all just a few blocks away. 

If you’re excited about this opportunity, please send us your resume, a cover letter with salary requirements, and a few pages of attachments (maximum of 10MB, please) or link to your portfolio that demonstrates your experience and capabilities. 

With thanks for your interest, please note that only those candidates under consideration will be contacted. 

For additional information on our firm’s services, approach, and projects, visit 
    "
Senior Electrical Estimator,https://newyork.craigslist.org/mnh/egr/d/new-york-senior-electrical-estimator/6997628463.html,New York City,"$100,000 / year",full-time,"
        
Senior Electrical Estimator Wanted
Leader Electric is an Electrical contracting company in business for 36 years, servicing all boroughs of New York City, doing all types and sizes of electrical work ranging from 50K to 6 million. 
This is a full time position, long term employment, steady work, offering health benefits and vacation.
Job description:
•	Review ITB with management.
•	Maintain estimate log & schedule.
•	Credit Check potential clients. 
•	Schedule meet and greet with potential clients
•	Attend walk-throughs.
•	Do take offs.
•	Ensure RFQs and RFIs are created, sent out and followed up.
•	Identify labor, material, and time requirements by studying blueprints, specifications, quotes, photos, walk through notes, RFI and other related documents.
•	Resolve discrepancies by collecting and analyzing information.
•	Enter data into estimating software –Accubid.
•	Create proposal for client
•	Final review of estimate and proposal with management
•	Submit proposals in a timely fashion.
•	Prepare statistics reports
•	Maintain cost data base. 
•	Manage and train junior estimator 
Requirements:
•	Education and experience in electrical estimating
•	Blueprint reading
•	Knowledge of NYC and NEC codes
•	Knowledge of means and methods
•	Computer literate
•	Knowledge of Accu Bid estimating software a plus
•	Understanding of material needs and labor costs
•	Excellent communication skills, both verbal and written
•	Field experience preferred



    "
Draftsman/junior estimator - Architectural  Metals,https://newyork.craigslist.org/brk/egr/d/brooklyn-draftsman-junior-estimator/6997637470.html,Brooklyn,Compensation based on experience plus commission,full-time,"
        
Established Architectural Metal Fabricator located in Brooklyn South seeking a highly motivated person to join our team. The successful candidate will have a minimum of 5 years' experience in drafting and assembling shop drawings. The position will require estimating projects with understanding of how to evaluate specifications and drawings, identify requirements, obtain quotes from vendors and subcontractors, calculate quantities and prepare offers that win contracts and return profits.

RESPONSIBILITIES:
•	Analyze blueprints and contract documents to prepare labor & material estimates.
•	Consult with clients, vendors, and management to discuss estimates and resolve issues.
•	Prepare estimates for use in selecting vendors or subcontractors.
•	Prepare estimates for bids, quotes as well as planning, organizing and scheduling work.
•	Maintain a directory of suppliers, contractors and subcontractors.
•	Follow up with clients and maintain relationships

REQUIREMENTS:
•	Strong math and analytical skills as well as an eye for details.
•	Must be able to read and understand Contract Documents and Blueprints.
•	Must be proficient in the use of computers, MS Excel/Word. Auto CAD experience a plus.
•	Strong communication and interpersonal skills.
•	Experienced in working independently and in a team.
•	Ability to effectively prioritize and execute tasks.
•	Must be able to learn, understand and apply new rules and regulations.
•	Must be able to meet deadlines.
•	Job may require field, vendor and client visits.

Sales experience is a plus, can easily qualify for commissions and bonuses.
    "
Facade / Building Envelope Architect,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect/6997656390.html,TriBeCa,Commensurate with experience,full-time,"
        
 
 , New York City's leading professional firm dedicated to the preservation of buildings and infrastructure, is seeking a resourceful, skilled architect with 2 to 5 years of building envelope restoration experience to join us in executing a growing slate of challenging projects.  We also have an opening for an entry level architect with an interest in exterior restoration.   

We work on an array of building types, including courthouses, schools, universities, churches, and hospitals, and many of New York's most storied landmarks, from Trinity Church to Grand Central Terminal. Our work embraces all components of the building envelope and underlying structure—facades, roofs, windows, and plazas—and the full complement of materials, from historic terra-cotta to high-performance curtain walls. We’re proud to be an industry leader in crucial practice areas like Local Law 11 inspections and repairs. We've won numerous awards, as well as the loyalty of many of the premier public, corporate, and residential clients in the region. 

You’ll work as part of a small team assigned to projects based on synergies between project requirements and the capabilities of each team member. This arrangement offers employees the dual advantages of a small office experience coupled with access to the centralized resources of a larger firm. You'll be supported by some of the most sophisticated technology in the profession, including proprietary computer systems and applications, advanced photography and image processing, and state-of-the-art, non-destructive diagnostic equipment and techniques. 

Typically, you’ll participate in all phases of a project from inception through completion: proposal, investigation, construction documents, bid negotiation, and construction administration. You'll have the opportunity to see your designs executed in the field and you'll take on greater responsibility and client management as soon as you are ready. 

We offer an array of benefits and growth opportunities: :


Our light-filled Tribeca office is in a landmarked building with 16' high ceilings, 8' tall windows, and stunning views of Manhattan in three directions—not a bad place to spend the work day. We’re easily accessible via public transportation: the A, C, and E Canal Street station connects directly to our building’s lobby. The N, R, 1, and 6 lines are all just a few blocks away. 

If you’re excited about this opportunity, please send us your resume, a cover letter with salary requirements, and a few pages of attachments (maximum of 10MB, please) or link to your portfolio that demonstrates your experience and capabilities. 

With thanks for your interest, please note that only those candidates under consideration will be contacted. 

For additional information on our firm’s services, approach, and projects, visit 
    "
Project Supervisor,https://newyork.craigslist.org/brx/egr/d/bronx-project-supervisor/6997869759.html,bronx,based on experience,full-time,"
        
Seeking Project Super. for curtain wall, storefront, glazing projects 
must have knowledge of this field. Driver License
open shop project.    "
Seeking Junior Designer for Boutique Firm,https://newyork.craigslist.org/mnh/egr/d/new-york-seeking-junior-designer-for/6998324437.html,Midtown,Billed directly to client,part-time,"
        
Award Winning Design Firm seeking junior designer to start immediately-

-Develop projects from schematic-design, design development, construction documents to construction coordination
-Develop design concepts, sketches, layouts and design presentations
-Manage workflow of projects, organize and maintain records. 
-Develop construction documents from design drawings and under supervision of senior staff
-Research, analyze and implement zoning and building code requirements
-Coordinate and develop details based on construction documents
-Coordinate throughout the DOB plan examination process to coordinate approvals.
-Construction site visits to review progress as well as to create as-built plans and drawings.

Software Requirements:

-ArchiCAD 23 a must
-AutoCAD a must
-Photoshop
-Illustrator
-Indesign
-Revit
-Blender
-Sketchup
-Google Docs

www.avivacollective.com


    "
Structural Engineer,https://newyork.craigslist.org/que/egr/d/forest-hills-structural-engineer/6998729565.html,Queens,The salary is based on level of experience.,full-time,"
        
As a well established engineering firm serving the Tri-State area for over 25 years, we are currently seeking a structural engineers to join our team.

Required Qualifications

   -  MS degree in Civil Engineering.
   -  Proficient skill with AutoCAD or Microstation. Knowledge in both is highly preferred.
   -  3-5 years experience in residential/commercial building structure design.
   -  Experience in concrete/steel shop drawings design is a plus. 
   -  Experience or previous education/training in eTabs, Safe, or SAP2000 is a plus.
   -  Must have excellent verbal and written communication skills, work well with team environments, and be able to work solely with minimal supervision on deadline driven projects.

We provide sponsorship for OPT, H1B. Please clearly indicate the request in your email.    "
Project manager-DOB- Expediting Company,https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-manager-dob/6998861644.html,Downtown,45k to 60k based upon experience,full-time,"
        
Manhattan  based Department of Buildings expediting company seeking a full-time Project Manager. 

Review of plans
Prepare applications for Alt 1, 2 and Alt 3 filings for the Department of Buildings BIS and NOW
Prepare Post Approval Amendments, Letter of completion. 
Contact clients and provide progress of status on projects

Qualifications:
Min one one (1) year of experience in the industry.
Class 1 or 2 Filing Representative a plus. ( but not mandatory for office work)

Knowledge of dob NOW a major Plus. 

Strong work ethic, organizational and interpersonal skills are mandatory.
Compensation is 45-60k but is commensurate with experience and education. Hours are 8am-5pm M thru F Benefits include paid sick days, paid vacation . Optional medical, dental, eye and life insurance is available.

We will train candidates with the basic experience and understanding of the DOB system and forms.    "
AutoCAD PM/Drafting Positions for Site Safety Plans,https://newyork.craigslist.org/mnh/egr/d/autocad-pm-drafting-positions-for-site/6999088456.html,Manhattan,"We offer a competitive salary (commensurate with experience), with paid vacation",full-time,"
        
PM/Drafting position - Safety design coordinator for a Major NYC Safety Consulting Company
We are looking for a full-time CAD PM/Draftsman to join our dynamic Production team. As a member of this fast-paced, cutting edge group you will work with architects, engineers and construction specialists to handle the drawing and graphic needs for industry leading developers and construction managers.

Key Duties and Responsibilities:
The Safety Design Coordinator will work in a team overseeing project design, construction & project administration. 

Knowledgeable of codes and regulations including NYC Building Code, NYC Fire Code & DOT regulations.

Proficient in reviewing DOB-BEST Squad objections and maintaining Building Code, the client's preferences, and design intent.

Meet with New York City Department of Buildings Plan Examiners to review and obtain approvals of Site Safety Plans.

Good drafting skills. Must be able to balance CAD drafting (For Site Safety Logistics Plans for Alterations, Facade Repairs & New Buildings), project management and coordination. 

Perform Quality Assurance reviews of drawing sets.

Conduct site visits for field measurements and drawing research.

Develop and produce presentation materials, including plans, diagrams, details, etc

Communicate and follow up with clients about specific projects and their goals.

Prepare daily & weekly reports.



Qualifications:
1.	Bachelors Degree in Architecture, Civil engineering or closely related field preferred.
2.	2-5 years architectural design/CAD drafting work experience, minimum 1 year in Project Coordination, or Management.
3.	Must have EXCELLENT computer skills. Proficient in CAD software and/or AutoCAD experience is required. 
        REVIT knowledge is a plus. Proficiency in Photoshop and/or illustrator, PowerPoint, Excel and Word is necessary as well.
4.     Complex problem solving and decision-making skills.
5.	Good written and verbal communication skills
6.	Must be a team player and have the ability to effectively multi-task
7.     Strong leadership, communication and relationship management skills.
8.     Flexibility in a fast-paced changing environment. 
9.     Working knowledge of NYC Building Code, Chapter 33 Safeguards During Construction or   Demolition as well as OSHA 
        CFR 1926 Construction Safety and Health and NYC DOT

We offer a competitive salary (commensurate with experience), with paid vacation and benefits package.
Recent college grads welcome to apply!
    "
Architecture office,https://newyork.craigslist.org/mnh/egr/d/new-york-architecture-office/6999106665.html,Midtown,Full time position,full-time,"
        
Architecture office seeks candidate with at least 2 years working experience. The position will require the ability to work with the team or independently, communicate with the clients and be able to manage all aspects of the projects.

Must be familiar with New York City building codes, The New York City zoning regulations and the New York City Department of Buildings procedures

The position will also require interaction with the New York City Department of Buildings and a class 2 expeditors license is required for the position

Send a copy of resume with salary requirements. Submissions without salary requirements will not be reviewed.
    "
Junior & Intermediate Architectural Designers,https://newyork.craigslist.org/mnh/egr/d/junior-intermediate-architectural/6999367558.html,Midtown,Commensurate with Experience,full-time,"
        
KGA is a small, twenty-nine year old firm based in Chelsea with a wide array of projects, including commercial, institutional, multi-family residential, single-family residential, and temporary installations. Employees experience all aspects of design, from Schematics through Construction Administration.

Kossar + Garry Architects, LLP (KGA), is looking for a talented and creative individual to fill two Architectural Designer positions:
(1) 1-2 years of U.S. experience.
(1) 3 years and above of U.S. experience.

Requirements:
- Minimum Bachelors of Architecture.  Only applicants with Bachelors of Architecture will be considered.
- Professional Revit Experience.
- Strong graphic skills required, including expertise in AutoCAD, Revit, Rhino, Adobe Creative Suite, and 3D modeling software.
- Ability to communicate fluently in English, verbally and in writing, with clients, consultants and contractors, is essential.
- Strong multi-tasking and organizational skills are required.
- Word and Excel familiarity is a plus.
- Familiarity with NYC Zoning and Building Codes is a plus.

Please send your resume and work samples in PDF format, max of 5mb.
Include SALARY requirement on your cover letter.

    "
