Country,Company Name,Address,Contact,Website
Canada,The Apple Tree Corporation,4315 20 Sideroad N0B 2K0 Rockwood ON,"ikayhan@apple-tree.ca,416-456-0042",https://www.control4.com/dealer/theappletreecorporation2-n0b2k0/rockwood-on/
Canada,The Alarm Factory Inc.,501 Passmore Ave. Unit 36 M1V 5G4 Toronto ON,"anil@alarmfactory.com,416-332-0421",https://www.control4.com/dealer/thealarmfactoryinc2-m1v5g4/toronto-on/
Canada,The Accurate Technology Group,"1000 Waverley St , Unit B R3T 0P3 Winnipeg MB","comptroller@accurategroup.ca,204-957-7799",https://www.control4.com/dealer/theaccuratetechnologygroup2-r3t0p3/winnipeg-mb/
Canada,Texonic AV Mounting Solution Inc,"72 Churchill Dr, Unit #3 L4N 8Z5 Barrie ON","preethie@texonic.ca,647-930-1560",https://www.control4.com/dealer/texonicavmountingsolutioninc2-l5t1r4/miSSiSSauga-on/
Canada,Tek Systems Group,25-5100 South Service Rd. L7L 6A5 Burlington ON,"pconsoli@teksystemsgroup.com,905-561-2715",https://www.control4.com/dealer/teksystemsgroup1-l7l6a5/burlington-on/
Canada,Technadian Inc.,275 Autumn Circle SE T3M 0J8 Calgary AB,"info@technadian.com,587-352-7555",https://www.control4.com/dealer/technadianinc2-t3m0j8/calgary-ab/
Canada,Tech 3 Designs,55 Nugent St. E1A 0S7 Dieppe NB,"boulaybros@gmail.com,506-874-6317",https://www.control4.com/dealer/tech3designs2-e1a0s7/dieppe-nb/
Canada,TEN80,2723 Bur Oak Ave Suite 2 L6B 1K7 Markham ON,"mark@ten80.ca,905-209-9220",https://www.control4.com/dealer/ten801-l6b1k7/markham-on/
Canada,Synergy/AVI,624 Jolly Place V8Z 6S1 Victoria BC,"sales@synergyavi.com,250-483-3016",https://www.control4.com/dealer/synergyavi2-v8z6s1/victoria-bc/
Canada,Synergy Home Control and Audio,513 Dawson Ave. V2A 6S5 Penticton BC,"jamie@eckertelectric.com,250-492-8001",https://www.control4.com/dealer/synergyhomecontrolandaudio2-v2a6s5/penticton-bc/
Canada,Spectrum Security- Sound Ltd.,133 Industrial Rd. Y1A 2V2 Whitehorse YT,"bradg@spectrumsecurity.ca,867-633-4694",https://www.control4.com/dealer/spectrumsecuritysoundltd2-y1a2v2/whitehorse-yt/
Canada,Summit Digital Systems Ltd.,9153 Shaughnessy St V6P 6R9 Vancouver BC,"davedhillon1968@gmail.com,604-322-9161",https://www.control4.com/dealer/summitdigitalsystemsltd4-v6p6r9/vancouver-bc/
Canada,Spectre Audio,74 Rylander Blvd M1B 4X3 Toronto ON,"najeeb@spectreaudio.com,416-897-2496",https://www.control4.com/dealer/spectreaudio1-m1b4x3/toronto-on/
Canada,Sounds Good AVS Solutions Inc,507 Speers Rd L6K 2G4 Oakville ON,"rob@sghometheatre.ca,905-691-4000",https://www.control4.com/dealer/soundsgoodavssolutionsinc2-l6k2g4/oakville-on/
Canada,Sound Obsessions AVU - Lloydminster,4520-44 Street S9V 0G3 Lloydminster SK,"gene_rogers@avu.ca,780-870-4774",https://www.control4.com/dealer/soundobsessionsavulloydminster1-s9v0g3/lloydminster-sk/
Canada,Sound Obsessions AVU - Fort McMurray,8118 Manning Avenue T9H 1V7 Fort McMurray AB,"sales@soundobsessions.ca,780-743-9399",https://www.control4.com/dealer/soundobsessionsavufortmcmurray1-t9h1v7/fortmcmurray-ab/
Canada,Sound Designs,534 Eglinton avenue west M5N 1B4 Toronto ON,"paul@sounddesigns.ca,416-364-4800",https://www.control4.com/dealer/sounddesigns4-m5n1b4/toronto-on/
Canada,"Sound Advice Electronics, Inc",Unit B -23 Brandt Rd. R5G 1Y4 Steinbach MB,"greg@sound-advice.ca,204-326-1545",https://www.control4.com/dealer/soundadviceelectronicsinc1-r5g1y4/steinbach-mb/
Canada,SonX Plus lac St-Jean Inc,"1221 Boulevard Marcotte, G8H 3B8 Roberval QC","daniel.lamontagne@sonxplus.com,418-275-4239",https://www.control4.com/dealer/sonxpluslacstjeaninc3-g8h3b8/roberval-qc/
Canada,SonX Plus lac St-Jean Inc,1220 Boulevard Wallberg G8L 1H1 Dolbeau QC,"daniel.lamontagne@sonxplus.com,418-276-8875",https://www.control4.com/dealer/sonxpluslacstjeaninc5-g8l1h1/dolbeau-qc/
Canada,SonX Plus lac St-Jean Inc,719 Chemin Du Pont-Tache Nord G8B 5B7 Alma QC,"daniel.lamontagne@sonxplus.com,418-669-0999",https://www.control4.com/dealer/sonxpluslacstjeaninc4-g8b5b7/alma-qc/
Canada,SonX Plus lac St-Jean Inc,1130 Boul. ST-Felicien G8K 2X8 St-Felicien QC,"daniel.lamontagne@sonxplus.com,418-679-8580",https://www.control4.com/dealer/sonxpluslacstjeaninc1-g8k2x8/stfelicien-qc/
Canada,Son X Plus/ Joliette,58 Rue Baby J6E 2V5 Joliette QC,"ventes.joliette@sonxplus.com,450-759-3204",https://www.control4.com/dealer/sonxplusjoliette1-j6e2v5/joliette-qc/
Canada,Solutions A/V,"5 Shields Ct, Unit 106 L3R 0G3 Markham ON","andrew@solutionsav.ca,905-918-2796",https://www.control4.com/dealer/solutionsav3-l3r0g3/markham-on/
Canada,SmartWorx Solutions Inc.,"2504 Government Street, Suite 106 V8T 4P7 Victoria BC","sales@smartworxinc.com,250-483-4040",https://www.control4.com/dealer/smartworxsolutionsinc3-v8t4p7/victoria-bc/
Canada,SmartLife Security & Automation,342 Freshwater Road A1B 1C2 St. John’s NL,"sean@goingmobilewireless.ca,709-744-5005",https://www.control4.com/dealer/smartlifesecurityautomation2-a1b1c2/stjohns-nl/
Canada,Smart Touch Integration Inc.,45 Webster Way L7G 5J6 Georgetown ON,"info@smarttouchavi.ca,888-983-6757",https://www.control4.com/dealer/smarttouchintegrationinc2-l7g5j6/georgetown-on/
Canada,Smart Homes by SA Electric,"Unit 4 -1335 Dalhousie Drive, V2C 5P6 Kamloops BC","jess@saelectric.ca,250-319-1645",https://www.control4.com/dealer/smarthomesbysaelectric5-v2c5p6/kamloops-bc/
Canada,Smart Home Systems,7130 Fisher Rd. SE T2H 3W0 Calgary AB,"Purchasing@smarthomesystems.com,403-243-8823",https://www.control4.com/dealer/smarthomesystems1-t2h3w0/calgary-ab/
Canada,Smart Home Comfort,8-125 Blackbridge Road N3C 0C2 Cambridge ON,"faisal@smarthomecomfort.ca,519-729-5567",https://www.control4.com/dealer/smarthomecomfort2-n3c0c2/cambridge-on/
Canada,Smart Home Solutions,2 Jerdon St Box 302 N0J 1P0 Norwich ON,"jeff@yourdigitalhome.ca,519-532-8427",https://www.control4.com/dealer/smarthomesolutions2-n0j1p0/norwich-on/
Canada,Smart Digital Living,14 Sixmile Ridge South T1K 5T9 Lethbridge AB,"shane@sdliving.ca,403-892-7136",https://www.control4.com/dealer/smartdigitalliving2-t1k5t9/lethbridge-ab/
Canada,Simcoe Audio Video,411 Bayfield St L4M 6E5 Barrie ON,"shaun.hart@unitedav.ca,705-737-1195",https://www.control4.com/dealer/simcoeaudiovideo2-l4m6e5/barrie-on/
Canada,Sight and Sound Automation,260 Regina Road unit #5 L4L-8P8 Woodbridge ON,"mark@sasagta.com,647-556-5150",https://www.control4.com/dealer/sightandsoundautomation2-l4l8p8/woodbridge-on/
Canada,Sheppard's AVU,22381 Dewdney Truck Rd V2X 3J4 Maple Ridge BC,"dave_sheppard@avu.ca,604-467-3884",https://www.control4.com/dealer/sheppardsavu1-v2x3j4/mapleridge-bc/
Canada,Services Electroniques Magary Inc.,1323 Boulevard St-Paul G7J 3Y2 Chicoutimi QC,"rejean.tremblay@magary.ca,418-543-2168",https://www.control4.com/dealer/serviceselectroniquesmagaryinc2-g7j3y2/chicoutimi-qc/
Canada,Sapphire Sound Inc.,#142 - 30722 Marshall Rd. V2T 0H9 Abbotsford BC,"sklassen@sapphiresound.ca,604-850-8168",https://www.control4.com/dealer/sapphiresoundinc2-v2t6h1/abbotsford-bc/
Canada,SSI- Sonmar Security Inc,2689 Kingsway P3B 2G1 Sudbury ON,"info@myssigroup.com,705-521-1990",https://www.control4.com/dealer/ssisonmarsecurityinc2-p3b2g1/sudbury-on/
Canada,SRA Tech Corp,434 Fernleigh Cir North L4C 1E3 Richmond Hill ON,"alledavood@yahoo.com,416-409-1532",https://www.control4.com/dealer/sratechcorp2-l4c1e3/richmondhill-on/
Canada,SOS Solutions,5738 176th Street V3S 4C8 Surrey BC,"js@sossolutions.ca,604-575-7444",https://www.control4.com/dealer/sossolutions2-v3s4c8/surrey-bc/
Canada,SK Creative Audio LTD,7-353 Provencher Boulevard R2G-0G8 Winnipeg MB,"info@creativeaudio.ca,204-452-5921",https://www.control4.com/dealer/skcreativeaudioltd2-r2g0g8/winnipeg-mb/
Canada,Robinsons Productions,1111-140 Carlton St M5A3W7 Toronto ON,"andrew@robinson-productions.ca,289-221-2799",https://www.control4.com/dealer/robinsonsproduction2-m5a3w7/toronto-on/
Canada,Rob Poulin Security and Automation,22 Cherry Ave K0C 1P0 Long Sault ON,"rpoulin@poulin.co,613-930-5555",https://www.control4.com/dealer/robpoulinsecurityandautomation4-k0c1p0/longsault-on/
Canada,Richly Maintained Service,Unit – 108 – 800 Kelly Road V9B 6J9 Victoria BC,"richly@telus.net,250-380-9693",https://www.control4.com/dealer/richlymaintainedservice1-v0r1l1/cobblehill-bc/
Canada,Repel Security Systems Ltd.,7007 Victoria Dr. V5P 3Y9 Vancouver BC,"repelsecurity@telus.net,604-322-6300",https://www.control4.com/dealer/repelsecuritysystemsltd2-v5p3y9/vancouver-bc/
Canada,Remote Care Systems,385 Rainbow Falls Way T1X 1S6 Chestermere AB,"info@remotecaresystems.com,587-228-8288",https://www.control4.com/dealer/remotecaresystems2-t1x1s6/chestermere-ab/
Canada,RAVE Smarthomes,13 Meadowcreste Dr P2A 2W9 McDougall ON,"brandon@ravesmarthomes.ca,705-774-1358",https://www.control4.com/dealer/ravesmarthomes2-p2a2w9/mcdougall-on/
Canada,R.G Security Systems,71 Silton Road Unit 5 L4L 7Z8 Vaughan ON,"john@rgsecurity.ca,905-265-0551",https://www.control4.com/dealer/rgsecuritysystems2-l4l7z8/vaughan-on/
Canada,"PeakLifestyles, LTD",126 Springbluff Heights SW T3H 5E5 Calgary AB,"info@peaklifestyles.ca,403-404-9639",https://www.control4.com/dealer/peaklifestylesltd9-t3h5e5/calgary-ab/
Canada,Northern Electric,4150 Versatile Place V2N 4K9 Prince George BC,"dean@northernelectricltd.com,250-562-0006",https://www.control4.com/dealer/northernelectric1-v2n4k9/princegeorge-bc/
Canada,P.A. Soundworks Inc,3300 2nd Ave West S6V 5E9 Prince Albert SK,"pasoundworks@shaw.ca,306-922-0606",https://www.control4.com/dealer/pasoundworksinc2-s6v5e9/princealbert-sk/
Canada,Panacom Systems,1274 Lawrence Ave West M6L 1A3 Toronto ON,"panacomsystems@rogers.com,416-567-6710",https://www.control4.com/dealer/panacomsystems1-m6l1a3/toronto-on/
Canada,Peak Audio Video Ltd.,2813 Agricola St B3K 4E5 Halifax NS,"peak@peakaudio.ns.ca,902-455-7325",https://www.control4.com/dealer/peakaudiovideoltd2-b3k4e5/halifax-ns/
Canada,Okanagan Prewire,#3 - 4311 - 25th Avenue V1T 4S5 Vernon BC,"opej@shaw.ca,250-542-9932",https://www.control4.com/dealer/okanaganprewire2-v1t4s5/vernon-bc/
Canada,Quadriom Son & Image Inc.,64 Boul Harwood Suite 130 J7V 1X3 Vaudreuil-Dorion QC,"paul@quadriom.com,888-502-3398",https://www.control4.com/dealer/quadriomsonimageinc1-j7v1x3/vaudreuildorion-qc/
Canada,Professional Sound Audio and Video,1897 Regent Street P3E 3Z7 Sudbury ON,"professionalsound@vianet.ca,705-521-6708",https://www.control4.com/dealer/profeSSionalsoundaudioandvideo2-p3e3z7/sudbury-on/
Canada,New Tech Pioneers Inc,293 Hillcrest Ave M2N 3P5 Toronto ON,"order@ntp.ca,416-317-5446",https://www.control4.com/dealer/newtechpioneersinc2-m2n3p5/toronto-on/
Canada,My Smart Home Corp.,93-7250 Keele St L4K 1Z8 Vaughan ON,"info@mysmarthome.ca,1-888-346-7151",https://www.control4.com/dealer/mysmarthomecorp2-l4k1z8/vaughan-on/
Canada,New Image Electronics LTD AVU,1311-4th St. S4A 2K9 Estevan SK,"brandon_rosengren@avu.ca,306-634-8813",https://www.control4.com/dealer/newimageelectronicsltdavu2-s4a2k9/estevan-sk/
Canada,"My Smarter Home, A Division of Cairn Control Systems Inc.",2100A South Sheridan way L5J 2M4 Mississauga ON,"rob@cairngroup.ca,905-820-4332",https://www.control4.com/dealer/mysmarterhomeadivisionofcairncontrolsystemsinc1-l5j2m4/mississauga-on/
Canada,Norocom Enterprises LTD,1377 Pemberton Ave. V7P 2R6 North Vancouver BC,"moji@norocom.com,604-987-2242",https://www.control4.com/dealer/norocomenterprisesltd1-v7p2r6/northvancouver-bc/
Canada,NexGen Technologies,#13-62 Fawcett V3K 6V5 Coquitlam BC,"Steven@nexgentech.ca,604-517-8324",https://www.control4.com/dealer/nexgentechnologies2-v3k6v5/coquitlam-bc/
Canada,North Star Electric Inc.,60 Prairie Winds Estates S0L 1S2 Kindersley SK,"info@nselectric.org,306-460-4690",https://www.control4.com/dealer/northstarelectricinc2-s0l1s0/kindersley-sk/
Canada,Muskoka Audio Video & Appliance,295 Wellington St. Unit #15 P1L 1P3 Bracebridge ON,"trevor@muskokaavu.com,705-645-4990",https://www.control4.com/dealer/muskokaaudiovideoappliance2-p1l1p3/bracebridge-on/
Canada,Mitchell Automation,1467 Diamondview Rd. K0A 1L0 Carp ON,"rmitchell@mitchellautomation.com,613-769-4650",https://www.control4.com/dealer/mitchellautomation2-k0a1l0/carp-on/
Canada,Musicworx AVU,45950 Alexander Ave V2P 1L5 Chilliwack BC,"jim@musicworx.ca,604-795-6655",https://www.control4.com/dealer/musicworxavu1-v2p1l5/chilliwack-bc/
Canada,Monitor 24-7 Inc.,335 Renfrew Dr. Suite 301 L3R 9S9 Markham ON,"Control4@monitor24-7.com,416-410-2716 x205",https://www.control4.com/dealer/monitor247inc1-l3r9s9/markham-on/
Canada,Midland Fast Forward AVU,9225 hwy 93 unit 12A L4R 4K4 Midland ON,"jeff_partridge@avu.ca,705-527-7888",https://www.control4.com/dealer/midlandfastforwardavu1-l4r4k4/midland-on/
Canada,Micromaster Pioneers Inc.,"350 John St., Unit #10 L3T 5W6 Thornhill ON","info@mmpioneers.com,416-824-6727",https://www.control4.com/dealer/micromasterpioneersinc4-l3t5w6/thornhill-on/
Canada,Maison Domo,1020 Emile-Nelligan J4B 2L4 Boucherville QC,"philippe@maisondomo.com,514-915-0826",https://www.control4.com/dealer/maisondomo4-j4b2l4/boucherville-qc/
Canada,Magen,3235 Dufferin Street M6A 2T2 Toronto ON,"support@magen.ca,416-658-5757",https://www.control4.com/dealer/magen1-m6a2t2/toronto-on/
Canada,Mac Home Innovations,321 Crawford Street N6C 5S2 London ON,"carlo@machomeinnovations.com,519-872-4663",https://www.control4.com/dealer/machomeinnovations1-n6c5s2/london-on/
Canada,Lucent Controls,255 City Center Ave K1R 7P7 Ottawa ON,"accounts@lucentcontrols.com,613-327-7478",https://www.control4.com/dealer/lucentcontrols2-k1r7p7/ottawa-on/
Canada,Lowvoltage.ca Inc.,58 Beckett Ave M6L 2B4 Toronto ON,"sales@lowvoltage.ca,416-779-8484",https://www.control4.com/dealer/lowvoltagecainc2-m6l2b4/toronto-on/
Canada,"Liquid Sound, Inc",4320 10TH AVE W V6R 2H7 Vancouver BC,"daniel@liquidsound.ca,778-891-7750",https://www.control4.com/dealer/liquidsoundinc1-v6r2h7/vancouver-bc/
Canada,Lifestyle Home Technologies,315-801 Klahanie Dr buzzer 1426 V3H 5K4 Port Moody BC,"marc@lifestylehometech.com,604-345-4811",https://www.control4.com/dealer/lifestylehometechnologies2-v3h5k4/portmoody-bc/
Canada,Krazy Kileys,106-1844 Mcormond Drive S7S 0A5 Saskatoon SK,"wade_krazy@hotmail.com,306-244-1300",https://www.control4.com/dealer/krazykileys3-s7s0a5/saskatoon-sk/
Canada,Krazy Kileys,108 Avenue D South S7M 1P7 Saskatoon SK,"wade_krazy@hotmail.com,306-244-1300",https://www.control4.com/dealer/krazykileys2-s7m1p7/saskatoon-sk/
Canada,Kamloops Smart Homes,765 Notre Dame Drive V2C 5N8 Kamloops BC,"info@KamloopsSmartHomes.ca,250-571-4666",https://www.control4.com/dealer/kamloopssmarthomes1-v2c5n8/kamloops-bc/
Canada,KRU,1914 Lonsdale Ave. V7M 2K1 North Vancouver BC,"admin@kruinc.com,604-628-2021",https://www.control4.com/dealer/kru3-v7m2k1/northvancouver-bc/
Canada,J.D. Home Media Solutions,12 Ontario Street N0N 1J0 Forest ON,"fisherelectric@execulink.com,519-786-2100",https://www.control4.com/dealer/jdhomemediasolutions2-n0n1j0/forest-on/
Canada,K2 Digital Inc.,4750 106 Ave. SE #14 T2C 3G5 Calgary AB,"stevev@k2digitalinc.com,403-203-0027",https://www.control4.com/dealer/k2digitalinc2-t2c3g5/calgary-ab/
Canada,"Integrated Home Systems, Inc","#110,120 Pembina Road T8H 0M2 Sherwood Park AB","john@ihspros.com,780-467-3508",https://www.control4.com/dealer/integratedhomesystemsinc1-t8h0m2/sherwoodpark-ab/
Canada,Insight Automation International,3-1009 Herring Gull Way V9P 2N1 Parksville BC,"kjohnson@insightai.com,250-248-5382",https://www.control4.com/dealer/insightautomationinternational2-v9p2n1/parksville-bc/
Canada,Inspired Innovations 2.0 Ltd,431 40th Street South T1J4M1 Lethbridge AB,"colin@i3av.ca,403-380-9007",https://www.control4.com/dealer/inspiredinnovations20ltd2-t1k7j6/lethbridge-ab/
Canada,Innovative Solutions Inc.,489 Acadia Ave Suite 100 E1A 1H7 Dieppe NB,"bourgeoisj@isiatlantic.com,506-862-5518",https://www.control4.com/dealer/innovativesolutionsinc2-e1a1h7/dieppe-nb/
Canada,Integrated Gizmos Inc.,"540 Baker Ave, Unit 3 K9J 1E5 Peterborough ON","sales@integratedgizmos.com,705-243-7210",https://www.control4.com/dealer/integratedgizmosinc2-k9j1e5/peterborough-on/
Canada,Ingenius Inc.,4275 Jolibois J2R 1M6 St-Hyacinthe QC,"stessier@ingeniusinc.ca,514-868-2032",https://www.control4.com/dealer/ingeniusinc1-j2r1m6/sthyacinthe-qc/
Canada,IMAV,750 Place de Marillac H7X 3G8 Laval QC,"charles@imav.ca,514-296-0585",https://www.control4.com/dealer/imav2-h7x3g8/laval-qc/
